Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
1/30/2020,6:00 PM,Kerala,0,0,1
1/31/2020,6:00 PM,Kerala,0,0,1
2/1/2020,6:00 PM,Kerala,0,0,2
2/2/2020,6:00 PM,Kerala,0,0,3
2/3/2020,6:00 PM,Kerala,0,0,3
2/4/2020,6:00 PM,Kerala,0,0,3
2/5/2020,6:00 PM,Kerala,0,0,3
2/6/2020,6:00 PM,Kerala,0,0,3
2/7/2020,6:00 PM,Kerala,0,0,3
2/8/2020,6:00 PM,Kerala,0,0,3
2/9/2020,6:00 PM,Kerala,0,0,3
2/10/2020,6:00 PM,Kerala,0,0,3
2/11/2020,6:00 PM,Kerala,0,0,3
2/12/2020,6:00 PM,Kerala,0,0,3
2/13/2020,6:00 PM,Kerala,0,0,3
2/14/2020,6:00 PM,Kerala,0,0,3
2/15/2020,6:00 PM,Kerala,0,0,3
2/16/2020,6:00 PM,Kerala,0,0,3
2/17/2020,6:00 PM,Kerala,0,0,3
2/18/2020,6:00 PM,Kerala,0,0,3
2/19/2020,6:00 PM,Kerala,0,0,3
2/20/2020,6:00 PM,Kerala,0,0,3
2/21/2020,6:00 PM,Kerala,0,0,3
2/22/2020,6:00 PM,Kerala,0,0,3
2/23/2020,6:00 PM,Kerala,0,0,3
2/24/2020,6:00 PM,Kerala,0,0,3
2/25/2020,6:00 PM,Kerala,0,0,3
2/26/2020,6:00 PM,Kerala,0,0,3
2/27/2020,6:00 PM,Kerala,0,0,3
2/28/2020,6:00 PM,Kerala,0,0,3
2/29/2020,6:00 PM,Kerala,0,0,3
3/1/2020,6:00 PM,Kerala,0,0,3
3/2/2020,6:00 PM,Telengana,0,0,1
3/2/2020,6:00 PM,Kerala,0,0,3
3/2/2020,6:00 PM,Delhi,0,0,1
3/3/2020,6:00 PM,Kerala,3,0,3
3/3/2020,6:00 PM,Telengana,0,0,1
3/3/2020,6:00 PM,Rajasthan,0,0,1
3/3/2020,6:00 PM,Delhi,0,0,1
3/4/2020,6:00 PM,Kerala,3,0,3
3/4/2020,6:00 PM,Uttar Pradesh,0,0,6
3/4/2020,6:00 PM,Haryana,0,0,2
3/4/2020,6:00 PM,Delhi,0,0,1
